block,supply,timestamp
7739783,219.80739236,2019-05-11T14:42:33
7738408,219.80739236,2019-05-11T09:21:14
7737033,219.80739236,2019-05-11T04:17:41
7735658,219.80739236,2019-05-10T23:05:23
7734283,208.80739236,2019-05-10T18:04:50
7732908,201.90739236,2019-05-10T12:51:56
7731533,201.90739236,2019-05-10T07:46:56
7730158,201.90739236,2019-05-10T02:37:38
7728783,201.90739236,2019-05-09T21:31:46
7727408,201.90739236,2019-05-09T16:18:54
7726033,201.90739236,2019-05-09T11:03:54
7724658,201.90739236,2019-05-09T05:47:53
7723283,201.90739236,2019-05-09T00:36:34
7721908,201.90739236,2019-05-08T19:27:23
7720533,201.90739236,2019-05-08T14:20:00
7719158,201.90739236,2019-05-08T09:08:40
7717783,201.90739236,2019-05-08T04:02:58
7716408,201.90739236,2019-05-07T22:42:07
7715033,201.90739236,2019-05-07T17:27:01
7713658,201.90739236,2019-05-07T12:28:09
7712283,201.90739236,2019-05-07T07:10:21
7710908,201.90739236,2019-05-07T02:01:01
7709533,195.65739236,2019-05-06T20:50:40
7708158,195.65739236,2019-05-06T15:45:06
7706783,195.65739236,2019-05-06T10:40:33
7705408,195.65739236,2019-05-06T05:37:47
7704033,195.65739236,2019-05-06T00:05:56
7702658,195.65739236,2019-05-05T19:03:04
7701283,195.65739236,2019-05-05T13:47:13
7699908,195.65739236,2019-05-05T08:45:24
7698533,195.65739236,2019-05-05T03:24:27
7697158,195.65739236,2019-05-04T22:18:45
7695783,195.65739236,2019-05-04T17:13:47
7694408,150.65739236,2019-05-04T12:06:57
7693033,150.65739236,2019-05-04T07:03:28
7691658,150.65739236,2019-05-04T02:05:48
7690283,150.65739236,2019-05-03T20:59:28
7688908,150.65739236,2019-05-03T15:40:03
7687533,150.65739236,2019-05-03T10:34:12
7686158,150.65739236,2019-05-03T05:19:39
7684783,150.65739236,2019-05-03T00:08:06
7683408,150.65739236,2019-05-02T19:01:56
7682033,150.65739236,2019-05-02T13:51:27
7680658,150.65739236,2019-05-02T08:51:42
7679283,150.65739236,2019-05-02T03:40:22
7677908,150.65739236,2019-05-01T22:20:50
7676533,150.65739236,2019-05-01T17:28:48
7675158,150.65739236,2019-05-01T12:25:32
7673783,150.65739236,2019-05-01T07:10:49
7672408,150.65739236,2019-05-01T02:04:32
7671033,150.65739236,2019-04-30T20:58:04
7669658,150.65739236,2019-04-30T15:48:35
7668283,150.65739236,2019-04-30T10:35:07
7666908,150.65739236,2019-04-30T05:25:32
7665533,150.65739236,2019-04-30T00:19:49
7664158,150.65739236,2019-04-29T19:12:05
7662783,150.65739236,2019-04-29T14:09:06
7661408,150.65739236,2019-04-29T08:55:28
7660033,150.65739236,2019-04-29T03:49:05
7658658,150.65739236,2019-04-28T22:45:19
7657283,155.65739236,2019-04-28T17:36:30
7655908,155.65739236,2019-04-28T12:30:16
7654533,155.65739236,2019-04-28T07:17:00
7653158,155.65739236,2019-04-28T02:08:46
7651783,155.65739236,2019-04-27T20:53:03
7650408,155.65739236,2019-04-27T15:55:30
7649033,155.65739236,2019-04-27T10:45:55
7647658,155.65739236,2019-04-27T05:43:04
7646283,155.65739236,2019-04-27T00:33:19
7644908,155.65739236,2019-04-26T19:35:05
7643533,155.65739236,2019-04-26T14:31:57
7642158,155.65739236,2019-04-26T09:21:27
7640783,155.65739236,2019-04-26T04:16:07
7639408,155.65739236,2019-04-25T23:00:37
7638033,155.65739236,2019-04-25T17:48:24
7636658,155.65739236,2019-04-25T12:50:33
7635283,155.65739236,2019-04-25T07:37:38
7633908,155.65739236,2019-04-25T02:26:14
7632533,155.65739236,2019-04-24T21:37:23
7631158,155.65739236,2019-04-24T16:28:45
7629783,155.65739236,2019-04-24T11:14:27
7628408,155.65739236,2019-04-24T05:48:46
7627033,155.65739236,2019-04-24T00:46:53
7625658,155.65739236,2019-04-23T19:27:40
7624283,155.65739236,2019-04-23T14:09:04
7622908,155.65739236,2019-04-23T09:10:41
7621533,155.65739236,2019-04-23T03:54:04
7620158,155.65739236,2019-04-22T22:35:56
7618783,155.65739236,2019-04-22T17:32:59
7617408,155.65739236,2019-04-22T12:29:23
7616033,155.65739236,2019-04-22T07:19:55
7614658,155.65739236,2019-04-22T02:23:24
7613283,155.65739236,2019-04-21T20:58:20
7611908,150.87148386,2019-04-21T15:55:27
7610533,150.87148386,2019-04-21T10:53:49
7609158,150.87148386,2019-04-21T05:50:25
7607783,150.87148386,2019-04-21T00:38:53
7606408,150.87148386,2019-04-20T19:34:08
7605033,150.87148386,2019-04-20T14:17:27
7603658,150.87148386,2019-04-20T08:57:03
7602283,150.87148386,2019-04-20T03:51:12
7600908,150.87148386,2019-04-19T22:40:09
7599533,150.87148386,2019-04-19T17:31:53
7598158,150.87148386,2019-04-19T12:28:11
7596783,150.87148386,2019-04-19T07:23:04
7595408,150.87148386,2019-04-19T02:15:54
7594033,150.87148386,2019-04-18T21:13:37
7592658,150.87148386,2019-04-18T16:03:40
7591283,150.87148386,2019-04-18T10:57:40
7589908,150.87148386,2019-04-18T05:35:07
7588533,150.87148386,2019-04-18T00:32:59
7587158,150.87148386,2019-04-17T19:24:48
7585783,150.87148386,2019-04-17T14:21:04
7584408,150.87148386,2019-04-17T09:09:06
7583033,150.87148386,2019-04-17T03:56:38
7581658,150.87148386,2019-04-16T22:40:41
7580283,150.87148386,2019-04-16T17:30:30
7578908,150.87148386,2019-04-16T12:26:24
7577533,150.87148386,2019-04-16T07:23:43
7576158,150.87148386,2019-04-16T02:01:21
7574783,150.87148386,2019-04-15T20:56:14
7573408,150.87148386,2019-04-15T15:47:39
7572033,150.87148386,2019-04-15T10:45:59
7570658,150.87148386,2019-04-15T05:32:26
7569283,150.87148386,2019-04-15T00:26:13
7567908,150.87148386,2019-04-14T19:18:37
7566533,150.87148386,2019-04-14T14:12:35
7565158,150.87148386,2019-04-14T09:07:36
7563783,150.87148386,2019-04-14T03:50:13
7562408,150.87148386,2019-04-13T22:45:14
7561033,150.87148386,2019-04-13T17:49:47
7559658,150.87148386,2019-04-13T12:40:06
7558283,150.87148386,2019-04-13T07:28:49
7556908,150.87148386,2019-04-13T02:28:59
7555533,150.87148386,2019-04-12T21:23:34
7554158,150.87148386,2019-04-12T16:20:48
7552783,150.87148386,2019-04-12T11:10:22
7551408,150.87148386,2019-04-12T05:59:22
7550033,150.87148386,2019-04-12T00:46:43
7548658,150.87148386,2019-04-11T19:36:41
7547283,143.87148386,2019-04-11T14:31:21
7545908,143.87148386,2019-04-11T09:20:26
7544533,143.87148386,2019-04-11T04:03:32
7543158,143.87148386,2019-04-10T22:56:27
7541783,143.87148386,2019-04-10T17:49:44
7540408,143.87148386,2019-04-10T12:42:10
7539033,143.87148386,2019-04-10T07:43:10
7537658,143.87148386,2019-04-10T02:25:33
7536283,143.87148386,2019-04-09T21:25:06
7534908,143.87148386,2019-04-09T16:07:51
7533533,143.87148386,2019-04-09T10:59:34
7532158,143.87148386,2019-04-09T05:54:23
7530783,143.87148386,2019-04-09T00:46:21
7529408,143.87148386,2019-04-08T19:41:08
7528033,93.87148386,2019-04-08T14:38:36
7526658,93.87148386,2019-04-08T09:32:26
7525283,93.87148386,2019-04-08T04:23:46
7523908,93.87148386,2019-04-07T23:06:30
7522533,93.87148386,2019-04-07T18:07:12
7521158,93.87148386,2019-04-07T12:55:09
7519783,93.87148386,2019-04-07T07:44:53
7518408,93.87148386,2019-04-07T02:43:58
7517033,93.87148386,2019-04-06T21:44:16
7515658,93.87148386,2019-04-06T16:35:32
7514283,93.87148386,2019-04-06T11:26:24
7512908,93.87148386,2019-04-06T06:11:54
7511533,93.87148386,2019-04-06T01:12:09
7510158,93.87148386,2019-04-05T20:19:48
7508783,93.87148386,2019-04-05T15:12:08
7507408,93.87148386,2019-04-05T10:01:22
7506033,93.87148386,2019-04-05T04:44:32
7504658,93.87148386,2019-04-04T23:34:11
7503283,89.92148386,2019-04-04T18:26:15
7501908,89.92148386,2019-04-04T13:16:54
7500533,89.92148386,2019-04-04T08:11:45
7499158,89.92148386,2019-04-04T02:57:02
7497783,82.42148386,2019-04-03T21:50:22
7496408,82.42148386,2019-04-03T16:41:44
